run_id,config_hash,star_id,treatment,success,runtime_seconds,diagnostics,error
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_1431791_q5,kalman,1,0.004916334059089422,"{""aic"":-51282.67960647539,""bic"":-51257.04563137741,""converged"":true,""finite_residual_count"":4485,""initial_state"":0.0,""initial_variance"":6.7610006140924325e-06,""log_likelihood"":25645.339803237694,""measurement_variance"":6.091610651058265e-07,""message"":""filtered with supplied parameters"",""missing_cadence_policy"":""prediction_only_no_update"",""model_name"":""local_level"",""observation_equation"":""normalized_flux_t = background_t + measurement_noise"",""process_variance"":7.840615229353404e-10,""state_equation"":""background_t = background_t_minus_1 + process_noise"",""status"":""0""}",
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_1431791_q5,raw,1,,"{""finite_observation_count"":4485,""identity"":true}",
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_2834231_q5,arima,1,0.006259874906390905,"{""allow_missing"":true,""finite_innovation_count"":4485,""fit_maxiter"":200,""fit_runtime_seconds"":0.06194883305579424,""mode"":""cadence_grid"",""order"":[1,1,0],""transform_mode"":""fixed_base_parameters""}",
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_2834231_q5,gp,1,0.0007150829769670963,"{""aic"":-5230.293033502963,""anchor_point_approximation"":true,""background_policy"":""two_sided_gp_posterior_mean"",""bic"":-5217.4760459539775,""converged"":false,""estimated_parameter_count"":2,""finite_residual_count"":4485,""flux_offset"":0.0,""initial_length_scale_days"":3.0,""initial_signal_variance"":1.79853316407512e-07,""injection_mode"":""fixed_base_hyperparameters_and_operator"",""kernel_family"":""constant_times_rbf"",""length_scale_at_lower_bound"":true,""length_scale_at_upper_bound"":false,""length_scale_days"":1.0,""log_marginal_likelihood"":2617.1465167514816,""max_length_scale_days"":30.0,""max_train_points"":512,""measurement_noise_fraction"":0.2,""measurement_noise_variance"":3.59706632815024e-08,""message"":""filtered with fixed base GP hyperparameters"",""min_length_scale_days"":1.0,""missing_cadence_policy"":""train_and_residuals_only_on_finite_observations_no_interpolation"",""model_name"":""smooth_anchor_gp"",""n_restarts_optimizer"":0,""observation_equation"":""normalized_flux_t = smooth_gp_background(time_t) + measurement_noise"",""optimize_kernel"":true,""optimizer_warning_count"":1,""optimizer_warning_message"":""The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified lower bound 1.0. Decreasing the bound and calling fit again may find a better value."",""signal_variance"":1.1975826413291475e-07,""signal_variance_at_lower_bound"":false,""signal_variance_at_upper_bound"":false,""signal_variance_lower_bound"":1.79853316407512e-11,""signal_variance_upper_bound"":0.00179853316407512,""status"":""1"",""time_origin_days"":491.16423761415354,""training_point_count"":512}",
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_2834231_q5,kalman,1,0.004500874783843756,"{""aic"":-52409.978060847796,""bic"":-52384.34408574982,""converged"":true,""finite_residual_count"":4485,""initial_state"":0.0,""initial_variance"":4.911980528876556e-06,""log_likelihood"":26208.989030423898,""measurement_variance"":4.887022515444492e-07,""message"":""filtered with supplied parameters"",""missing_cadence_policy"":""prediction_only_no_update"",""model_name"":""local_level"",""observation_equation"":""normalized_flux_t = background_t + measurement_noise"",""process_variance"":1.1569711318425679e-11,""state_equation"":""background_t = background_t_minus_1 + process_noise"",""status"":""0""}",
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_2834231_q5,raw,1,,"{""finite_observation_count"":4485,""identity"":true}",
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_3115178_q5,arima,1,0.006324999965727329,"{""allow_missing"":true,""finite_innovation_count"":4485,""fit_maxiter"":200,""fit_runtime_seconds"":0.07440762501209974,""mode"":""cadence_grid"",""order"":[1,1,0],""transform_mode"":""fixed_base_parameters""}",
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_3115178_q5,gp,1,0.0007677501998841763,"{""aic"":-6618.61768305602,""anchor_point_approximation"":true,""background_policy"":""two_sided_gp_posterior_mean"",""bic"":-6605.800695507034,""converged"":false,""estimated_parameter_count"":2,""finite_residual_count"":4485,""flux_offset"":0.0,""initial_length_scale_days"":3.0,""initial_signal_variance"":1.6036856166198532e-08,""injection_mode"":""fixed_base_hyperparameters_and_operator"",""kernel_family"":""constant_times_rbf"",""length_scale_at_lower_bound"":true,""length_scale_at_upper_bound"":false,""length_scale_days"":1.0,""log_marginal_likelihood"":3311.30884152801,""max_length_scale_days"":30.0,""max_train_points"":512,""measurement_noise_fraction"":0.2,""measurement_noise_variance"":3.2073712332397064e-09,""message"":""filtered with fixed base GP hyperparameters"",""min_length_scale_days"":1.0,""missing_cadence_policy"":""train_and_residuals_only_on_finite_observations_no_interpolation"",""model_name"":""smooth_anchor_gp"",""n_restarts_optimizer"":0,""observation_equation"":""normalized_flux_t = smooth_gp_background(time_t) + measurement_noise"",""optimize_kernel"":true,""optimizer_warning_count"":1,""optimizer_warning_message"":""The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified lower bound 1.0. Decreasing the bound and calling fit again may find a better value."",""signal_variance"":8.184267121692358e-09,""signal_variance_at_lower_bound"":false,""signal_variance_at_upper_bound"":false,""signal_variance_lower_bound"":1.6036856166198533e-12,""signal_variance_upper_bound"":0.00016036856166198532,""status"":""1"",""time_origin_days"":491.16387046793534,""training_point_count"":512}",
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_3115178_q5,kalman,1,0.004578916821628809,"{""aic"":-67446.11731633786,""bic"":-67420.48334123989,""converged"":true,""finite_residual_count"":4485,""initial_state"":0.0,""initial_variance"":1.819687673906159e-07,""log_likelihood"":33727.05865816893,""measurement_variance"":1.4837290785811453e-08,""message"":""filtered with supplied parameters"",""missing_cadence_policy"":""prediction_only_no_update"",""model_name"":""local_level"",""observation_equation"":""normalized_flux_t = background_t + measurement_noise"",""process_variance"":3.178280602460188e-10,""state_equation"":""background_t = background_t_minus_1 + process_noise"",""status"":""0""}",
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_3115178_q5,raw,1,,"{""finite_observation_count"":4485,""identity"":true}",
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_3230022_q5,arima,1,0.006993291899561882,"{""allow_missing"":true,""finite_innovation_count"":4485,""fit_maxiter"":200,""fit_runtime_seconds"":0.18242462491616607,""mode"":""cadence_grid"",""order"":[1,1,0],""transform_mode"":""fixed_base_parameters""}",
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_3230022_q5,gp,1,0.0007794168777763844,"{""aic"":-5674.769387642398,""anchor_point_approximation"":true,""background_policy"":""two_sided_gp_posterior_mean"",""bic"":-5661.9524000934125,""converged"":false,""estimated_parameter_count"":2,""finite_residual_count"":4485,""flux_offset"":0.0,""initial_length_scale_days"":3.0,""initial_signal_variance"":8.165727457300499e-08,""injection_mode"":""fixed_base_hyperparameters_and_operator"",""kernel_family"":""constant_times_rbf"",""length_scale_at_lower_bound"":true,""length_scale_at_upper_bound"":false,""length_scale_days"":1.0,""log_marginal_likelihood"":2839.384693821199,""max_length_scale_days"":30.0,""max_train_points"":512,""measurement_noise_fraction"":0.2,""measurement_noise_variance"":1.6331454914601e-08,""message"":""filtered with fixed base GP hyperparameters"",""min_length_scale_days"":1.0,""missing_cadence_policy"":""train_and_residuals_only_on_finite_observations_no_interpolation"",""model_name"":""smooth_anchor_gp"",""n_restarts_optimizer"":0,""observation_equation"":""normalized_flux_t = smooth_gp_background(time_t) + measurement_noise"",""optimize_kernel"":true,""optimizer_warning_count"":1,""optimizer_warning_message"":""The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified lower bound 1.0. Decreasing the bound and calling fit again may find a better value."",""signal_variance"":5.542719728060139e-08,""signal_variance_at_lower_bound"":false,""signal_variance_at_upper_bound"":false,""signal_variance_lower_bound"":8.165727457300499e-12,""signal_variance_upper_bound"":0.00081657274573005,""status"":""1"",""time_origin_days"":491.1639438307757,""training_point_count"":512}",
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_3230022_q5,kalman,1,0.00503820925951004,"{""aic"":-59693.99913477052,""bic"":-59668.36515967255,""converged"":true,""finite_residual_count"":4485,""initial_state"":0.0,""initial_variance"":9.716093382230722e-07,""log_likelihood"":29850.99956738526,""measurement_variance"":9.541631921170925e-08,""message"":""filtered with supplied parameters"",""missing_cadence_policy"":""prediction_only_no_update"",""model_name"":""local_level"",""observation_equation"":""normalized_flux_t = background_t + measurement_noise"",""process_variance"":1.9572730414317523e-11,""state_equation"":""background_t = background_t_minus_1 + process_noise"",""status"":""0""}",
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_3230022_q5,raw,1,,"{""finite_observation_count"":4485,""identity"":true}",
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_4544745_q5,arima,1,0.006262000184506178,"{""allow_missing"":true,""finite_innovation_count"":4485,""fit_maxiter"":200,""fit_runtime_seconds"":0.1649007499217987,""mode"":""cadence_grid"",""order"":[1,1,0],""transform_mode"":""fixed_base_parameters""}",
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_4544745_q5,gp,1,0.0007634996436536312,"{""aic"":-5424.304340591012,""anchor_point_approximation"":true,""background_policy"":""two_sided_gp_posterior_mean"",""bic"":-5411.487353042026,""converged"":false,""estimated_parameter_count"":2,""finite_residual_count"":4485,""flux_offset"":0.0,""initial_length_scale_days"":3.0,""initial_signal_variance"":1.6313417447037516e-07,""injection_mode"":""fixed_base_hyperparameters_and_operator"",""kernel_family"":""constant_times_rbf"",""length_scale_at_lower_bound"":true,""length_scale_at_upper_bound"":false,""length_scale_days"":1.0,""log_marginal_likelihood"":2714.152170295506,""max_length_scale_days"":30.0,""max_train_points"":512,""measurement_noise_fraction"":0.2,""measurement_noise_variance"":3.262683489407503e-08,""message"":""filtered with fixed base GP hyperparameters"",""min_length_scale_days"":1.0,""missing_cadence_policy"":""train_and_residuals_only_on_finite_observations_no_interpolation"",""model_name"":""smooth_anchor_gp"",""n_restarts_optimizer"":0,""observation_equation"":""normalized_flux_t = smooth_gp_background(time_t) + measurement_noise"",""optimize_kernel"":true,""optimizer_warning_count"":1,""optimizer_warning_message"":""The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified lower bound 1.0. Decreasing the bound and calling fit again may find a better value."",""signal_variance"":6.473408968846124e-08,""signal_variance_at_lower_bound"":false,""signal_variance_at_upper_bound"":false,""signal_variance_lower_bound"":1.6313417447037517e-11,""signal_variance_upper_bound"":0.0016313417447037517,""status"":""1"",""time_origin_days"":491.1642099435121,""training_point_count"":512}",
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_4544745_q5,kalman,1,0.004515625070780516,"{""aic"":-56658.0786341558,""bic"":-56632.44465905782,""converged"":true,""finite_residual_count"":4485,""initial_state"":0.0,""initial_variance"":1.924489613328175e-06,""log_likelihood"":28333.0393170779,""measurement_variance"":1.8617949831371524e-07,""message"":""filtered with supplied parameters"",""missing_cadence_policy"":""prediction_only_no_update"",""model_name"":""local_level"",""observation_equation"":""normalized_flux_t = background_t + measurement_noise"",""process_variance"":9.684488173166597e-11,""state_equation"":""background_t = background_t_minus_1 + process_noise"",""status"":""0""}",
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_4544745_q5,raw,1,,"{""finite_observation_count"":4485,""identity"":true}",
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_4818593_q5,arima,1,0.006494457833468914,"{""allow_missing"":true,""finite_innovation_count"":4485,""fit_maxiter"":200,""fit_runtime_seconds"":0.17742266599088907,""mode"":""cadence_grid"",""order"":[1,1,0],""transform_mode"":""fixed_base_parameters""}",
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_4818593_q5,gp,1,0.0010230839252471924,"{""aic"":-5424.644602498853,""anchor_point_approximation"":true,""background_policy"":""two_sided_gp_posterior_mean"",""bic"":-5411.827614949867,""converged"":false,""estimated_parameter_count"":2,""finite_residual_count"":4485,""flux_offset"":0.0,""initial_length_scale_days"":3.0,""initial_signal_variance"":1.2606776306276514e-07,""injection_mode"":""fixed_base_hyperparameters_and_operator"",""kernel_family"":""constant_times_rbf"",""length_scale_at_lower_bound"":true,""length_scale_at_upper_bound"":false,""length_scale_days"":1.0,""log_marginal_likelihood"":2714.3223012494263,""max_length_scale_days"":30.0,""max_train_points"":512,""measurement_noise_fraction"":0.2,""measurement_noise_variance"":2.521355261255303e-08,""message"":""filtered with fixed base GP hyperparameters"",""min_length_scale_days"":1.0,""missing_cadence_policy"":""train_and_residuals_only_on_finite_observations_no_interpolation"",""model_name"":""smooth_anchor_gp"",""n_restarts_optimizer"":0,""observation_equation"":""normalized_flux_t = smooth_gp_background(time_t) + measurement_noise"",""optimize_kernel"":true,""optimizer_warning_count"":1,""optimizer_warning_message"":""The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified lower bound 1.0. Decreasing the bound and calling fit again may find a better value."",""signal_variance"":9.946046864289553e-08,""signal_variance_at_lower_bound"":false,""signal_variance_at_upper_bound"":false,""signal_variance_lower_bound"":1.2606776306276515e-11,""signal_variance_upper_bound"":0.0012606776306276514,""status"":""1"",""time_origin_days"":491.16419442278857,""training_point_count"":512}",
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_4818593_q5,kalman,1,0.004518333822488785,"{""aic"":-60750.669766314866,""bic"":-60725.03579121689,""converged"":true,""finite_residual_count"":4485,""initial_state"":0.0,""initial_variance"":1.5049100482211351e-06,""log_likelihood"":30379.334883157433,""measurement_variance"":1.5291667738296095e-13,""message"":""filtered with supplied parameters"",""missing_cadence_policy"":""prediction_only_no_update"",""model_name"":""local_level"",""observation_equation"":""normalized_flux_t = background_t + measurement_noise"",""process_variance"":7.578356877890723e-08,""state_equation"":""background_t = background_t_minus_1 + process_noise"",""status"":""0""}",
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_4818593_q5,raw,1,,"{""finite_observation_count"":4485,""identity"":true}",
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_5171052_q5,arima,1,0.006247332785278559,"{""allow_missing"":true,""finite_innovation_count"":4485,""fit_maxiter"":200,""fit_runtime_seconds"":0.1503713340498507,""mode"":""cadence_grid"",""order"":[1,1,0],""transform_mode"":""fixed_base_parameters""}",
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_5171052_q5,gp,1,0.000913666095584631,"{""aic"":-4621.682861225314,""anchor_point_approximation"":true,""background_policy"":""two_sided_gp_posterior_mean"",""bic"":-4608.865873676328,""converged"":false,""estimated_parameter_count"":2,""finite_residual_count"":4485,""flux_offset"":0.0,""initial_length_scale_days"":3.0,""initial_signal_variance"":3.878346259560167e-07,""injection_mode"":""fixed_base_hyperparameters_and_operator"",""kernel_family"":""constant_times_rbf"",""length_scale_at_lower_bound"":true,""length_scale_at_upper_bound"":false,""length_scale_days"":1.0,""log_marginal_likelihood"":2312.841430612657,""max_length_scale_days"":30.0,""max_train_points"":512,""measurement_noise_fraction"":0.2,""measurement_noise_variance"":7.756692519120334e-08,""message"":""filtered with fixed base GP hyperparameters"",""min_length_scale_days"":1.0,""missing_cadence_policy"":""train_and_residuals_only_on_finite_observations_no_interpolation"",""model_name"":""smooth_anchor_gp"",""n_restarts_optimizer"":0,""observation_equation"":""normalized_flux_t = smooth_gp_background(time_t) + measurement_noise"",""optimize_kernel"":true,""optimizer_warning_count"":1,""optimizer_warning_message"":""The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified lower bound 1.0. Decreasing the bound and calling fit again may find a better value."",""signal_variance"":2.259807625524872e-07,""signal_variance_at_lower_bound"":false,""signal_variance_at_upper_bound"":false,""signal_variance_lower_bound"":3.878346259560167e-11,""signal_variance_upper_bound"":0.003878346259560167,""status"":""1"",""time_origin_days"":491.1641425303096,""training_point_count"":512}",
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_5171052_q5,kalman,1,0.00462216604501009,"{""aic"":-53236.415137246324,""bic"":-53210.78116214835,""converged"":true,""finite_residual_count"":4485,""initial_state"":0.0,""initial_variance"":4.08554563120794e-06,""log_likelihood"":26622.207568623162,""measurement_variance"":4.0525668960495185e-07,""message"":""filtered with supplied parameters"",""missing_cadence_policy"":""prediction_only_no_update"",""model_name"":""local_level"",""observation_equation"":""normalized_flux_t = background_t + measurement_noise"",""process_variance"":2.513054439388876e-11,""state_equation"":""background_t = background_t_minus_1 + process_noise"",""status"":""0""}",
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_5171052_q5,raw,1,,"{""finite_observation_count"":4485,""identity"":true}",
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_7583204_q5,arima,1,0.00617004232481122,"{""allow_missing"":true,""finite_innovation_count"":4485,""fit_maxiter"":200,""fit_runtime_seconds"":0.11249337531626225,""mode"":""cadence_grid"",""order"":[1,1,0],""transform_mode"":""fixed_base_parameters""}",
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_7583204_q5,gp,1,0.00075179198756814,"{""aic"":-6336.751808455061,""anchor_point_approximation"":true,""background_policy"":""two_sided_gp_posterior_mean"",""bic"":-6323.934820906075,""converged"":false,""estimated_parameter_count"":2,""finite_residual_count"":4485,""flux_offset"":0.0,""initial_length_scale_days"":3.0,""initial_signal_variance"":2.4233866707836937e-08,""injection_mode"":""fixed_base_hyperparameters_and_operator"",""kernel_family"":""constant_times_rbf"",""length_scale_at_lower_bound"":true,""length_scale_at_upper_bound"":false,""length_scale_days"":1.0,""log_marginal_likelihood"":3170.3759042275306,""max_length_scale_days"":30.0,""max_train_points"":512,""measurement_noise_fraction"":0.2,""measurement_noise_variance"":4.8467733415673875e-09,""message"":""filtered with fixed base GP hyperparameters"",""min_length_scale_days"":1.0,""missing_cadence_policy"":""train_and_residuals_only_on_finite_observations_no_interpolation"",""model_name"":""smooth_anchor_gp"",""n_restarts_optimizer"":0,""observation_equation"":""normalized_flux_t = smooth_gp_background(time_t) + measurement_noise"",""optimize_kernel"":true,""optimizer_warning_count"":1,""optimizer_warning_message"":""The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified lower bound 1.0. Decreasing the bound and calling fit again may find a better value."",""signal_variance"":1.603409325423046e-08,""signal_variance_at_lower_bound"":false,""signal_variance_at_upper_bound"":false,""signal_variance_lower_bound"":2.423386670783694e-12,""signal_variance_upper_bound"":0.00024233866707836936,""status"":""1"",""time_origin_days"":491.16435780482425,""training_point_count"":512}",
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_7583204_q5,kalman,1,0.004572834353893995,"{""aic"":-64548.19002558575,""bic"":-64522.55605048777,""converged"":true,""finite_residual_count"":4485,""initial_state"":0.0,""initial_variance"":3.5384702679357047e-07,""log_likelihood"":32278.095012792874,""measurement_variance"":3.17936477757448e-08,""message"":""filtered with supplied parameters"",""missing_cadence_policy"":""prediction_only_no_update"",""model_name"":""local_level"",""observation_equation"":""normalized_flux_t = background_t + measurement_noise"",""process_variance"":3.0503634333589865e-11,""state_equation"":""background_t = background_t_minus_1 + process_noise"",""status"":""0""}",
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_7583204_q5,raw,1,,"{""finite_observation_count"":4485,""identity"":true}",
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_10677499_q5,arima,1,0.006891166791319847,"{""allow_missing"":true,""finite_innovation_count"":4486,""fit_maxiter"":200,""fit_runtime_seconds"":0.17262983368709683,""mode"":""cadence_grid"",""order"":[1,1,0],""transform_mode"":""fixed_base_parameters""}",
