quality_policy,mode,order,name,estimate,std_error,ci_low,ci_high,boundary_distance,near_boundary
permissive,full_gap,"(2, 0, 0)",sigma2,5.985364694257543e-09,4.447536691916221e-11,5.898194576896781e-09,6.072534811618306e-09,,False
permissive,full_gap,"(2, 0, 1)",const,-2.4320144185835073e-05,9.363138614116436e-06,-4.267155865175956e-05,-5.968729719910583e-06,,False
permissive,full_gap,"(2, 0, 1)",ar.L1,0.9337236484908717,2.2600703842637923e-09,0.9337236440612152,0.9337236529205283,0.06627635150912825,False
permissive,full_gap,"(2, 0, 1)",ar.L2,-0.008993731756989691,2.311116595817267e-09,-0.008993736286694982,-0.0089937272272844,0.9910062682430103,False
permissive,full_gap,"(2, 0, 1)",ma.L1,-0.37160028280136964,6.270124348348985e-10,-0.37160028403029144,-0.37160028157244784,0.6283997171986304,False
permissive,full_gap,"(2, 0, 1)",sigma2,5.807984886066558e-09,4.194631912857631e-11,5.725771611290524e-09,5.890198160842591e-09,,False
permissive,full_gap,"(1, 0, 1)",const,-2.4320237042612448e-05,9.304148261508687e-06,-4.255603254199043e-05,-6.084441543234465e-06,,False
permissive,full_gap,"(1, 0, 1)",ar.L1,0.9229774257965041,2.2074244549637003e-09,0.9229774214700317,0.9229774301229765,0.0770225742034959,False
permissive,full_gap,"(1, 0, 1)",ma.L1,-0.3608540984124224,5.956585926952786e-10,-0.3608540995798918,-0.360854097244953,0.6391459015875776,False
permissive,full_gap,"(1, 0, 1)",sigma2,5.8078606472931805e-09,4.19592456245188e-11,5.7256220370506535e-09,5.8900992575357075e-09,,False
permissive,full_gap,"(3, 0, 0)",const,-2.4315046975467705e-05,8.891200438259647e-06,-4.174147961378336e-05,-6.8886143371520545e-06,,False
permissive,full_gap,"(3, 0, 0)",ar.L1,0.5621233657141523,1.3047822744858045e-09,0.5621233631568261,0.5621233682714786,0.43787663428584767,False
permissive,full_gap,"(3, 0, 0)",ar.L2,0.20992183283161017,1.594167980043545e-09,0.20992182970709836,0.209921835956122,0.7900781671683899,False
permissive,full_gap,"(3, 0, 0)",ar.L3,0.09981077985356242,1.5956674763672735e-09,0.09981077672611163,0.0998107829810132,0.9001892201464375,False
permissive,full_gap,"(3, 0, 0)",sigma2,5.9254033370469e-09,4.355843226039079e-11,5.8400303785935065e-09,6.010776295500293e-09,,False
permissive,full_gap,"(1, 0, 0)",const,-2.431719923147213e-05,6.15249689776181e-06,-3.637587156607969e-05,-1.2258526896864574e-05,,False
permissive,full_gap,"(1, 0, 0)",ar.L1,0.8054790225233761,3.90018791453854e-10,0.8054790217589534,0.8054790232877989,0.1945209774766239,False
permissive,full_gap,"(1, 0, 0)",sigma2,6.433025903507585e-09,4.52600384443654e-11,6.344317858217731e-09,6.52173394879744e-09,,False
permissive,longest_segment,"(2, 0, 1)",const,-0.00010304556616174708,7.129734623307394e-06,-0.00011701958924275783,-8.907154308073633e-05,,False
permissive,longest_segment,"(2, 0, 1)",ar.L1,-0.0,6.218933912184842e-11,-1.218888649011707e-10,1.218888649011707e-10,1.0,False
permissive,longest_segment,"(2, 0, 1)",ar.L2,0.0,7.541751251563038e-11,-1.4781560833423433e-10,1.4781560833423433e-10,1.0,False
permissive,longest_segment,"(2, 0, 1)",ma.L1,0.0,6.218932536683361e-11,-1.2188883794183707e-10,1.2188883794183707e-10,1.0,False
permissive,longest_segment,"(2, 0, 1)",sigma2,5.7041838441024976e-09,4.4755368157635047e-10,4.826994747064543e-09,6.581372941140452e-09,,False
permissive,longest_segment,"(1, 1, 0)",ar.L1,-0.3078372152404595,4.2008000046295323e-19,-0.3078372152404595,-0.3078372152404595,0.6921627847595405,False
permissive,longest_segment,"(1, 1, 0)",sigma2,8.065774312102746e-09,5.233797683750692e-10,7.039968815850695e-09,9.091579808354797e-09,,False
